"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,44.07 Social work,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
22310 Electrical and electronics engineering technologists and technicians,"47,425","42,170","5,255",10,0,0,,
22311 Electronic service technicians (household and business equipment),"55,150","51,720","3,420",30,20,15,,
22312 Industrial instrument technicians and mechanics,"9,615","9,165",455,0,0,0,,
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","5,775","5,330",440,0,0,0,,
3 Health occupations,"1,601,710","315,180","1,286,535","5,240",785,"4,455",,
30 Specialized middle management occupations in health care,"39,060","9,650","29,410","1,040",170,865,,
300 Specialized middle management occupations in health care,"39,060","9,650","29,410","1,040",170,865,,
3001 Managers in health care,"39,060","9,650","29,410","1,040",170,865,,
30010 Managers in health care,"39,060","9,650","29,410","1,040",170,865,,
31 Professional occupations in health,"692,825","160,895","531,935",710,105,615,,
311 Health treating and consultation services professionals,"225,380","100,070","125,310",50,0,40,,
3110 Physicians and veterinarians,"124,000","64,520","59,480",15,0,10,,
31100 Specialists in clinical and laboratory medicine,"37,655","21,210","16,445",0,0,0,,
31101 Specialists in surgery,"11,120","7,500","3,620",0,0,0,,
31102 General practitioners and family physicians,"63,175","31,580","31,600",10,0,0,,
31103 Veterinarians,"12,055","4,235","7,820",0,0,0,,
"3111 Dentists, optometrists and audiologists","44,435","17,860","26,575",10,0,10,,
31110 Dentists,"24,565","14,165","10,395",0,0,0,,
31111 Optometrists,"6,945","2,860","4,090",0,0,0,,
31112 Audiologists and speech-language pathologists,"12,925",840,"12,085",10,0,10,,
3112 Pharmacists and dietitians,"56,940","17,685","39,255",25,0,25,,
31120 Pharmacists,"44,860","17,155","27,705",0,0,0,,
31121 Dietitians and nutritionists,"12,085",535,"11,555",20,0,20,,
312 Therapy and assessment professionals,"96,365","25,235","71,130",140,20,115,,
3120 Therapy and assessment professionals,"96,365","25,235","71,130",140,20,115,,
31200 Psychologists,"20,680","4,515","16,170",15,0,15,,
31201 Chiropractors,"9,800","5,890","3,910",0,0,0,,
31202 Physiotherapists,"28,055","7,770","20,285",40,0,35,,
31203 Occupational therapists,"18,580","1,610","16,970",20,0,20,,
31204 Kinesiologists and other professional occupations in therapy and assessment,"11,540","3,435","8,100",40,10,35,,
31209 Other professional occupations in health diagnosing and treating,"7,715","2,020","5,695",20,0,15,,
313 Nursing and allied health professionals,"371,085","35,590","335,495",525,70,450,,
3130 Nursing and allied health professionals,"371,085","35,590","335,495",525,70,450,,
31300 Nursing coordinators and supervisors,"15,020","1,545","13,475",260,45,215,,
31301 Registered nurses and registered psychiatric nurses,"346,095","32,870","313,225",260,25,225,,
31302 Nurse practitioners,"6,785",570,"6,220",0,0,0,,
"31303 Physician assistants, midwives and allied health professionals","3,185",605,"2,585",10,0,10,,
32 Technical occupations in health,"354,405","72,095","282,305",750,90,660,,
321 Technical occupations in health (except practitioners of natural healing),"299,425","61,165","238,265",485,60,420,,
3210 Technical occupations in therapy and assessment,"176,305","39,525","136,775",330,55,270,,
32100 Opticians,"10,260","3,035","7,230",15,0,15,,
32101 Licensed practical nurses,"78,340","8,090","70,250",115,15,95,,
32102 Paramedical occupations,"31,870","19,780","12,095",45,20,30,,
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","13,855","3,465","10,395",25,0,25,,
32104 Animal health technologists and veterinary technicians,"22,650","1,820","20,830",30,0,30,,
32109 Other technical occupations in therapy and assessment,"19,325","3,340","15,980",95,20,75,,
3211 Technical occupations in dental health care,"37,940","5,790","32,150",30,0,30,,
32110 Denturists,"2,740","1,685","1,055",0,0,0,,
32111 Dental hygienists and dental therapists,"29,705",935,"28,770",25,0,25,,
32112 Dental technologists and technicians,"5,495","3,170","2,325",0,0,0,,
3212 Medical technologists and technicians,"85,190","15,850","69,340",130,10,115,,
32120 Medical laboratory technologists,"20,940","4,180","16,760",10,0,10,,
32121 Medical radiation technologists,"20,755","4,400","16,350",20,0,20,,
32122 Medical sonographers,"6,985",980,"6,005",0,0,0,,
32123 Cardiology technologists and electrophysiological diagnostic technologists,"3,260",605,"2,650",0,0,0,,
32124 Pharmacy technicians,"27,965","3,775","24,190",85,0,85,,
32129 Other medical technologists and technicians,"5,290","1,905","3,385",0,0,0,,
322 Practitioners of natural healing,"54,975","10,935","44,040",265,25,235,,
3220 Practitioners of natural healing,"54,975","10,935","44,040",265,25,235,,
32200 Traditional Chinese medicine practitioners and acupuncturists,"5,175","1,740","3,435",25,0,20,,
32201 Massage therapists,"43,665","8,150","35,515",195,20,175,,
32209 Other practitioners of natural healing,"6,130","1,035","5,095",45,0,45,,
33 Assisting occupations in support of health services,"515,420","72,540","442,885","2,745",425,"2,325",,
331 Assisting occupations in support of health services,"515,420","72,540","442,885","2,745",425,"2,325",,
3310 Assisting occupations in support of health services,"515,420","72,540","442,885","2,745",425,"2,325",,
33100 Dental assistants and dental laboratory assistants,"39,965","1,605","38,360",40,0,40,,
33101 Medical laboratory assistants and related technical occupations,"21,600","3,560","18,040",15,0,15,,
"33102 Nurse aides, orderlies and patient service associates","380,320","53,690","326,630","2,390",395,"2,000",,
33103 Pharmacy technical assistants and pharmacy assistants,"33,655","4,965","28,695",80,0,75,,
33109 Other assisting occupations in support of health services,"39,885","8,720","31,165",225,25,200,,
"4 Occupations in education, law and social, community and government services","2,532,170","816,725","1,715,450","97,955","13,660","84,295",,
"40 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670","3,285",545,"2,740",,
"400 Managers in public administration, in education and social and community services and in public protection services","139,490","59,820","79,670","3,285",545,"2,740",,
4001 Managers in public administration,"27,585","13,195","14,390",370,105,260,,
40010 Government managers - health and social policy development and program administration,"8,155","2,825","5,330",245,70,180,,
"40011 Government managers - economic analysis, policy development and program administration","12,255","6,445","5,810",50,15,40,,
40012 Government managers - education policy development and program administration,"2,035",720,"1,310",40,0,30,,
40019 Other managers in public administration,"5,140","3,200","1,940",35,20,20,,
4002 Managers in education,"51,495","18,870","32,630",250,40,210,,
40020 Administrators - post-secondary education and vocational training,"18,420","6,295","12,125",190,30,160,,
40021 School principals and administrators of elementary and secondary education,"33,080","12,575","20,505",65,10,50,,
"4003 Managers in social, community and correctional services","36,120","8,275","27,840","2,620",380,"2,235",,
"40030 Managers in social, community and correctional services","36,120","8,275","27,840","2,620",380,"2,235",,
4004 Managers in public protection services,"24,285","19,475","4,810",40,15,25,,
40040 Commissioned police officers and related occupations in public protection services,"2,240","1,610",640,10,0,10,,
40041 Fire chiefs and senior firefighting officers,"2,725","2,515",210,0,0,0,,
40042 Commissioned officers of the Canadian Armed Forces,"19,325","15,355","3,965",30,10,20,,
"41 Professional occupations in law, education, social, community and government services","1,337,875","475,880","861,995","60,585","8,180","52,400",,
411 Professional occupations in law,"109,335","58,275","51,055",235,50,180,,
"4110 Judges, lawyers and Quebec notaries","109,335","58,275","51,055",235,50,180,,
41100 Judges,"3,355","1,830","1,525",25,0,20,,
41101 Lawyers and Quebec notaries,"105,980","56,440","49,535",205,45,165,,
412 Professional occupations in education services,"796,855","266,185","530,670","3,260",675,"2,590",,
4120 University professors and post-secondary assistants,"200,550","96,090","104,460","1,285",350,940,,
41200 University professors and lecturers,"79,445","43,955","35,490",665,230,430,,
41201 Post-secondary teaching and research assistants,"121,110","52,135","68,970",620,120,510,,
4121 College and other vocational instructors,"108,620","50,905","57,715",940,150,790,,
41210 College and other vocational instructors,"108,620","50,905","57,715",940,150,790,,
"4122 Secondary, elementary and kindergarten school teachers","487,680","119,185","368,495","1,035",175,860,,
41220 Secondary school teachers,"165,375","67,290","98,085",265,45,215,,
41221 Elementary school and kindergarten teachers,"322,305","51,895","270,410",770,130,645,,
413 Professional occupations in social and community services,"187,750","51,800","135,950","54,505","7,040","47,465",,
4130 Social and community service professionals,"137,460","39,290","98,170","51,790","6,585","45,200",,
41300 Social workers,"69,445","9,660","59,785","46,000","5,660","40,340",,
41301 Therapists in counselling and related specialized therapies,"37,585","6,635","30,950","5,575",845,"4,730",,
41302 Religious leaders,"30,435","23,000","7,435",210,75,135,,
4131 Police investigators and probation officers,"9,100","3,900","5,200",565,105,460,,
41310 Police investigators and other investigative occupations,"3,670","2,570","1,100",10,0,0,,
41311 Probation and parole officers,"5,430","1,330","4,100",560,100,460,,
4132 Educational and employment counsellors,"41,190","8,610","32,580","2,150",345,"1,800",,
41320 Educational counsellors,"28,820","6,060","22,755","1,315",245,"1,065",,
41321 Career development practitioners and career counsellors (except education),"12,370","2,545","9,825",835,100,730,,
414 Professional occupations in government services,"243,940","99,620","144,315","2,590",420,"2,165",,
"4140 Policy and program researchers, consultants and officers","243,940","99,620","144,315","2,590",420,"2,165",,
"41400 Natural and applied science policy researchers, consultants and program officers","37,725","19,025","18,695",30,0,25,,
41401 Economists and economic policy researchers and analysts,"23,970","13,255","10,715",30,10,20,,
41402 Business development officers and market researchers and analysts,"46,305","25,000","21,305",125,40,85,,
"41403 Social policy researchers, consultants and program officers","45,075","15,180","29,895","1,330",240,"1,095",,
"41404 Health policy researchers, consultants and program officers","29,270","6,950","22,325",565,60,505,,
"41405 Education policy researchers, consultants and program officers","28,530","7,375","21,155",280,35,245,,
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","10,605","3,505","7,095",70,0,70,,
41407 Program officers unique to government,"15,250","6,685","8,565",125,35,85,,
